,Unnamed: 0,id,userName,userImage,date,score,scoreText,url,title,text,replyDate,replyText,version,thumbsUp,criterias,App_Id,label
501,501,gp:AOqpTOFCtTIueHWi20rKsDHKmBwkOlYH0jGuh86H9HzgEq64GBBkvWE8Ehcx6zquWIySY4jn0qtpjtreQWzSFQ,Mimi Loveez,https://play-lh.googleusercontent.com/a-/AOh14Ghwkv-ECGFv8axN4NkjB_LSVTBebIQ3toWXxQjHWg,2015-02-28T20:00:12.556Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOFCtTIueHWi20rKsDHKmBwkOlYH0jGuh86H9HzgEq64GBBkvWE8Ehcx6zquWIySY4jn0qtpjtreQWzSFQ,,I like it alot played online first then downloaded the app both great,,,1.1.0,0,[],air.com.flipline.papasburgeriatogo,0
502,502,gp:AOqpTOEUG45a8pRsTIs_CvFr0aKF_0mWFqMxKISoiMW-8ujsX_yI2eB4gTnrGmDk2QOHa1clPjf6kqkeF2uTcA,Brownie Sims,https://play-lh.googleusercontent.com/a-/AOh14GhBkrp_MW1rUIc3jZPveanypFoj7XJZyG9dFQbkAQ,2014-09-02T07:34:19.592Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOEUG45a8pRsTIs_CvFr0aKF_0mWFqMxKISoiMW-8ujsX_yI2eB4gTnrGmDk2QOHa1clPjf6kqkeF2uTcA,,Played it love it,,,1.0.2,0,[],air.com.flipline.papasburgeriatogo,0
503,503,gp:AOqpTOGtVJISM2_Zsp2U8-UF1h0TOIu7Re5dNMnBuYdD23ITuFb6uXW1qx78iMbu8c6etSEM8KEladYxKaASIA,Lilliemae Oulahan,https://play-lh.googleusercontent.com/a/AATXAJxSWVOZiVAOm1gqku3-oJGiUs-i6X2ZY6CfV71R=mo,2013-12-25T15:16:07.145Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOGtVJISM2_Zsp2U8-UF1h0TOIu7Re5dNMnBuYdD23ITuFb6uXW1qx78iMbu8c6etSEM8KEladYxKaASIA,,I love this game sooooo much,,,1.0.0,0,[],air.com.flipline.papasburgeriatogo,0
504,504,gp:AOqpTOHeGY08jUWTPs4MpzpyVsCp8e9tixmxI_H7BmsXhR6BdGJ4JzrONBDzExrW9e7tVYy-D_MTfsF9M3HxUQ,Samara Morrison,https://play-lh.googleusercontent.com/a/AATXAJxyfgjo_WME4eQNo2p5T_h_MM4SdqNr2vv4bzBi=mo,2018-11-01T21:57:19.868Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOHeGY08jUWTPs4MpzpyVsCp8e9tixmxI_H7BmsXhR6BdGJ4JzrONBDzExrW9e7tVYy-D_MTfsF9M3HxUQ,,It is really fun and entertaining,,,1.1.3,13,"[{'criteria': 'vaf_games_rating_graphics', 'rating': None}, {'criteria': 'vaf_games_rating_controls', 'rating': None}, {'criteria': 'vaf_games_rating_gameplay', 'rating': None}]",air.com.flipline.papasburgeriatogo,0
505,505,gp:AOqpTOE8LGKabmX2srzaPRXhmS4mD12rER_I_KfapWQEi9BqBnvii1e7T9m2wHfQxC9lrDRQSLbubrg1FUEJHA,FLOW Breadboi,https://play-lh.googleusercontent.com/a-/AOh14GgJccKY9CunKo_toJ3DD-Mz8s2S0on7GcuWVhZS4g,2019-10-15T19:41:44.681Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOE8LGKabmX2srzaPRXhmS4mD12rER_I_KfapWQEi9BqBnvii1e7T9m2wHfQxC9lrDRQSLbubrg1FUEJHA,,Its a phenomenal game,,,1.2.1,1,"[{'criteria': 'vaf_games_rating_gameplay', 'rating': None}, {'criteria': 'vaf_games_rating_graphics', 'rating': None}, {'criteria': 'vaf_games_rating_controls', 'rating': None}]",air.com.flipline.papasburgeriatogo,0
506,506,gp:AOqpTOFkuQPLF4oC9EG0ILFZIaXmGiXdXqCVadgIXJqocFN0Xd4FScJeDracifk0HyJeTSFxCVqLxejAEDJutg,Hal Coffey,https://play-lh.googleusercontent.com/a-/AOh14GhL73d8WmsArOg_uyFT9UAc7IMZUTJvdAn1Yzb0dg,2019-09-13T03:36:19.538Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOFkuQPLF4oC9EG0ILFZIaXmGiXdXqCVadgIXJqocFN0Xd4FScJeDracifk0HyJeTSFxCVqLxejAEDJutg,,MAYONNAISE,,,1.2.1,0,"[{'criteria': 'vaf_games_rating_controls', 'rating': None}, {'criteria': 'vaf_games_rating_gameplay', 'rating': None}, {'criteria': 'vaf_games_rating_graphics', 'rating': None}]",air.com.flipline.papasburgeriatogo,0
507,507,gp:AOqpTOExcLo9O9Tu0B5GYq_lJIdeDz8nw6XqwIvpoY9IS6A5IyNwvGoJbk5Y5Soy1pzzg9UytX2VjtKfW2GR8A,Daniel Mcginity,https://play-lh.googleusercontent.com/a-/AOh14Gg18HdeVzh6dkq6VD_Y8fucG8k94s11Tq_RyNr_,2014-08-10T23:20:40.301Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOExcLo9O9Tu0B5GYq_lJIdeDz8nw6XqwIvpoY9IS6A5IyNwvGoJbk5Y5Soy1pzzg9UytX2VjtKfW2GR8A,,So I Downloaded This Today And Its Awsome You Should Get It!!! LOVE IT!!!!!,,,1.0.2,0,[],air.com.flipline.papasburgeriatogo,0
508,508,gp:AOqpTOHcd_QtezQ_ZmYYhnqcJpumKlkvoSpJ-bAfpc_-cAjf88qDIEOtx5sxEPX8QiQBGXFpE-9Tb_AdknOKpQ,Rob Treacy,https://play-lh.googleusercontent.com/a-/AOh14Gi8q8tiS-C3_qv88YdWWajMlqazdxs_CZjuoU3HHg,2017-08-20T20:18:58.709Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOHcd_QtezQ_ZmYYhnqcJpumKlkvoSpJ-bAfpc_-cAjf88qDIEOtx5sxEPX8QiQBGXFpE-9Tb_AdknOKpQ,,It's so funny the way you can mess up the orders I love this app,,,1.1.2,8,"[{'criteria': 'vaf_games_rating_controls', 'rating': None}, {'criteria': 'vaf_games_rating_gameplay', 'rating': None}, {'criteria': 'vaf_games_rating_graphics', 'rating': None}]",air.com.flipline.papasburgeriatogo,0
509,509,gp:AOqpTOE9fvYstE1trB1pB57qtLtc8vd7jrdLiNiv-oS5Ki2kYrlf9SGHwSIyRERLdLgUXx8CTUwSIFAVIX-01g,Denzel David,https://play-lh.googleusercontent.com/a-/AOh14GhD4vA_jbbEggGQlSEC3Fr5HoDecC4g8j_fXUz33w,2013-10-13T15:10:42.882Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOE9fvYstE1trB1pB57qtLtc8vd7jrdLiNiv-oS5Ki2kYrlf9SGHwSIyRERLdLgUXx8CTUwSIFAVIX-01g,,"The best! You should put your other games too! Especially freezeria, pancakeria, and jacksmith! I would totally buy em.",,,1.0.0,1,[],air.com.flipline.papasburgeriatogo,0
510,510,gp:AOqpTOEdEiyt7WhfQ4pipJDIpOHiGH-jDjM_GpKEMmN0LvTf4eM_L8i8P7FWHclCvH21z3l7ajHMLbXOVMvaUw,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,2018-08-06T12:41:55.934Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOEdEiyt7WhfQ4pipJDIpOHiGH-jDjM_GpKEMmN0LvTf4eM_L8i8P7FWHclCvH21z3l7ajHMLbXOVMvaUw,,It's easy to play,,,1.1.3,2,"[{'criteria': 'vaf_games_rating_graphics', 'rating': None}, {'criteria': 'vaf_games_rating_gameplay', 'rating': None}, {'criteria': 'vaf_games_rating_controls', 'rating': None}]",air.com.flipline.papasburgeriatogo,0
511,511,gp:AOqpTOE8Edlh6CqIapoidzw9LyfL5GJ43fNxvBVmMELe147tmna4oHPMnd-rQpMC10ZLFZ2B_zFLQwx-Io96fw,Jay Bee,https://play-lh.googleusercontent.com/a-/AOh14Giir-tbxOu5r_fayuz7X8UX8IBHc8aUOVhJQgxBLw,2013-07-09T15:27:42.300Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOE8Edlh6CqIapoidzw9LyfL5GJ43fNxvBVmMELe147tmna4oHPMnd-rQpMC10ZLFZ2B_zFLQwx-Io96fw,,This game is the best!,,,,0,[],air.com.flipline.papasburgeriatogo,0
512,512,gp:AOqpTOGrqzah8hTX5MinSSKMFkFyQqt7BcPH7s_q6OxiICKXQBBz0_2aj85dOKf4YzV9uHF9gwLxV2h0lat2pQ,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,2019-01-15T07:38:51.275Z,5,5,https://play.google.com/store/apps/details?id=air.com.flipline.papasburgeriatogo&reviewId=gp:AOqpTOGrqzah8hTX5MinSSKMFkFyQqt7BcPH7s_q6OxiICKXQBBz0_2aj85dOKf4YzV9uHF9gwLxV2h0lat2pQ,,i like this game its my favorite,,,1.1.3,7,"[{'criteria': 'vaf_games_rating_graphics', 'rating': None}, {'criteria': 'vaf_games_rating_controls', 'rating': None}, {'criteria': 'vaf_games_rating_gameplay', 'rating': None}]",air.com.flipline.papasburgeriatogo,0
